run,Episode Length,loss,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
0,5000,0.0,-196.94914582506465,9.53529278950766,3.414,22.922636103151863,376,4.569420035149385,95.43057996485061,0.0
1,5000,0.0,-55.10539348691865,13.983115058423556,3.45,23.372902169463774,407,4.869565217391305,95.1304347826087,0.0
2,5000,0.0,-55.184746328782474,12.372292058768533,3.204,21.2443716741711,447,5.430711610486892,94.19475655430712,0.37453183520599254
3,5000,0.0,-58.47657301615609,7.893379077921092,2.982,20.589439214081047,457,6.639839034205232,92.95774647887323,0.2012072434607646
4,5000,0.0,-56.399418129207945,13.196805329496092,3.156,21.73557101923864,449,5.513307984790875,94.29657794676805,0.0
5,5000,0.0,-51.785152741022436,9.873961209446964,3.198,21.162505116659844,484,5.628517823639775,94.18386491557223,0.0
6,5000,0.0,-43.626217571250976,8.307448623214901,3.5999999999999996,23.823168235775686,401,3.833333333333333,95.66666666666667,0.33333333333333337
7,5000,0.0,-65.4524867273054,4.434797431567425,1.8599999999999999,12.034383954154727,639,10.0,90.0,0.0
8,5000,0.0,-47.69272961397837,7.615356992400349,2.766,19.238641015145312,424,6.29067245119306,93.70932754880694,0.0
9,5000,0.0,-59.71029536350686,2.5305476469339596,1.9980000000000002,12.771182971756037,611,9.00900900900901,90.990990990991,0.0
10,5000,0.0,-38.41871646163038,6.66081522381735,3.9000000000000004,25.828898894801473,379,3.3846153846153846,96.46153846153847,0.0
11,5000,0.0,-40.866131543008784,15.85133791642621,3.684,24.355300859598856,371,4.397394136807818,95.60260586319218,0.0
12,5000,0.0,-42.10809201438695,11.20327015947217,3.954,26.401964797380273,393,3.338391502276176,96.66160849772383,0.0
13,5000,0.0,-42.75841187539241,11.867435485033365,3.738,24.72370036839951,371,4.173354735152488,95.6661316211878,0.0
14,5000,0.0,-41.84539670854182,8.433701995160295,3.774,25.092099877200162,374,3.97456279809221,96.02543720190779,0.0
15,5000,0.0,-48.04534123423921,14.708815008629037,3.264,22.144903806794925,396,5.147058823529411,94.66911764705883,0.0
16,5000,0.0,-43.58104626482754,10.740098581193111,3.696,24.47810069586574,359,3.896103896103896,96.1038961038961,0.0
17,5000,0.0,-50.01689619902574,15.972444856124175,3.132,20.54850593532542,451,5.363984674329502,94.6360153256705,0.0
18,5000,0.0,-43.401200824947736,8.882482502425324,3.8579999999999997,25.5832992222677,374,3.7325038880248838,96.26749611197512,0.0
19,5000,0.0,-51.71047720008682,14.247183417969987,3.1020000000000003,20.34383954154728,439,5.029013539651837,94.77756286266924,0.0
20,5000,-81469096.37750271,-61.480461266530675,0.6809182414002095,0.924,5.403192795742939,808,16.233766233766232,83.76623376623377,0.0
21,5000,-1591313869.0363317,-71.8418100860923,0.07708857778257541,0.132,0.0,926,100.0,0.0,0.0
22,2916,1446972025.0759437,-19.92986707497656,63.20088374372074,0.8220000000000001,17.77301927194861,273,12.408759124087592,87.59124087591242,0.0
23,5000,-3768618900.2383165,-3.17728470140127,489.56817817695065,5.118,40.68767908309456,0,2.2274325908558033,97.65533411488863,0.0
24,5000,-35647572099.867676,-0.12685457486791785,45.62059452435923,5.79,38.88661481784691,0,82.69430051813471,15.854922279792746,1.3471502590673576
25,5000,-216067691454.66812,-0.12659853656067574,42.753675690099904,5.73,40.114613180515754,1,81.2565445026178,16.649214659685864,2.094240837696335
26,5000,-619881011590.6311,-0.11556393193471173,36.19009886765059,5.664,37.98608268522309,1,89.83050847457628,7.521186440677965,2.5423728813559325
27,5000,-38456300322.58244,-0.12114336883257272,108.54497724091354,5.82,40.114613180515754,0,27.7319587628866,68.96907216494846,3.2989690721649487
28,5000,13688357208.764404,-0.125166338901323,159.0123253725035,6.0,41.09701187065084,1,15.299999999999999,83.89999999999999,0.8
29,5000,906450775588.5975,-0.10948413972617677,17.225398310970906,5.382,36.88088415882112,0,99.88851727982163,0.0,0.0
30,5000,391911129089.51166,-0.11535877142282684,35.517908309012874,5.706,39.132214490380676,2,94.21661409043112,3.890641430073607,1.8927444794952681
31,5000,37387570548.19133,-0.11041179298993568,34.176056589928336,5.6339999999999995,37.74048301268932,1,89.35037273695421,9.584664536741213,1.0649627263045793
32,4020,114920718163.86783,-0.14560983291217544,52.627333979889364,4.65,40.450588837685615,0,76.77419354838709,21.41935483870968,1.806451612903226
33,3664,88995222599.3821,-0.14890575726824462,52.026375070425445,4.038,38.816901408450704,0,79.79197622585438,17.682020802377416,2.526002971768202
34,2502,4756044748.998146,-0.19085546474175116,83.29198864184512,2.9939999999999998,42.04355108877722,0,51.302605210420836,46.09218436873748,2.6052104208416833
35,5000,118420160631.48123,-0.11795875723827476,32.23223042924282,5.904,39.41874744167008,0,94.10569105691057,4.2682926829268295,1.524390243902439
36,3260,-14332407598.941978,-0.16727934860689478,67.52853208581018,3.738,40.24157660521297,1,72.23113964686998,25.04012841091493,2.7287319422150884
37,5000,-29834415426.532036,-0.11826673770104003,61.18283966286301,5.856000000000001,40.114613180515754,1,78.3811475409836,18.954918032786885,2.663934426229508
38,3034,38765836100.31179,-0.17298828118040288,61.35691031610955,3.36,39.178082191780824,0,52.5,45.89285714285714,1.607142857142857
39,5000,85624098687.29175,-0.11767529352251145,129.38999089445957,5.742,39.17314776913631,0,18.286311389759664,81.08672936259144,0.41797283176593525
40,5000,45939958856.19437,-0.1091538876791424,30.816333713726213,5.513999999999999,36.635284486287354,0,93.90642002176278,4.461371055495103,1.5233949945593037
41,3850,7523864323.867474,-0.15306531101226817,58.019058629203165,4.4399999999999995,40.31049250535332,0,77.7027027027027,21.216216216216218,0.945945945945946
42,5000,-25927773155.36067,-0.11377330778774805,32.03739770095621,5.682,38.68194842406877,0,90.91869060190075,7.708553326293559,1.3727560718057021
43,5000,-122762784671.48587,-0.11668929153857045,30.70090899481074,5.448,37.044617273843635,0,92.84140969162996,5.947136563876652,1.2114537444933922
44,3866,-331816192637.3577,-0.1487768082431396,67.92403899952215,4.536,40.298507462686565,2,71.95767195767195,22.75132275132275,5.291005291005291
45,3830,-462099724819.857,-0.15109181451226017,55.106620903067736,4.212,38.213132400430574,2,71.7948717948718,26.21082621082621,1.9943019943019942
