run,Episode Length,loss,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
0,3458,123.94084167480469,-85.5882054754519,55.858608166131226,3.984,40.19138755980861,0,66.71686746987952,32.07831325301205,1.2048192771084338
1,3886,1783.4423828125,-0.558202840648182,63.11549945296865,4.662,41.35737009544008,0,71.17117117117117,24.83912483912484,3.861003861003861
2,5000,1491.2724609375,-0.48300974224464516,46.11376741868649,5.724,38.39541547277937,0,86.89727463312369,12.159329140461216,0.8385744234800839
3,5000,121.42994689941406,-0.4369807212936013,26.582385009343273,5.556,37.53581661891118,1,98.70410367170626,0.755939524838013,0.5399568034557235
4,2638,504.71710205078125,-0.6605481069207879,71.18634570910336,3.024,39.38193343898574,1,50.198412698412696,44.44444444444444,5.357142857142857
5,2502,1171.96875,-0.512817364950843,84.99075120093903,2.85,38.274706867671696,0,44.8421052631579,52.63157894736842,2.526315789473684
6,3854,1233.4334716796875,-0.5247283410998742,53.0097277777002,4.272,39.62566844919786,1,69.66292134831461,29.775280898876407,0.5617977528089888
7,5000,751.0987548828125,-0.47203683876228947,48.4515905269075,5.586,38.1498158002456,0,83.35123523093448,13.426423200859292,3.22234156820623
8,5000,51.83262634277344,-0.4998095149094044,48.09888239948378,5.778,39.41874744167008,0,80.89304257528556,16.926272066458985,2.1806853582554515
9,3168,691.7316284179688,-0.49583118793119885,67.41101566428418,3.7319999999999998,40.995415848068106,0,70.09646302250803,24.919614147909968,4.823151125401929
10,2818,1188.5958251953125,-0.6215183702270273,67.48328559780221,3.342,40.828402366863905,1,70.91561938958706,26.032315978456015,3.052064631956912
11,5000,2370.02685546875,-0.5055254103265133,32.82177469367331,5.6579999999999995,38.19074907900123,1,94.80381760339343,3.711558854718982,1.4846235418875928
12,5000,2152.304443359375,-0.5229564398298413,34.439530400109845,5.73,38.68194842406877,0,90.89005235602095,8.06282722513089,0.9424083769633508
13,5000,991.6450805664062,-0.40189206270040834,36.41178895631274,5.766,39.25501432664756,0,90.73881373569199,8.532778355879293,0.72840790842872
14,3204,78.3990707397461,-0.40925270201845687,59.01183427745345,3.492,39.09385113268608,1,66.1512027491409,33.161512027491405,0.6872852233676976
15,4572,383.56201171875,-0.3849314340724732,52.100975903161185,5.274,40.780619111709285,0,88.28213879408419,11.149032992036405,0.4550625711035267
16,2700,505.6999206542969,-0.3591310346745402,68.090689330096,3.018,40.21655065738592,0,57.85288270377733,40.55666003976143,1.3916500994035785
17,5000,1870.0426025390625,-0.48162779941696454,54.49096565009275,5.67,39.25501432664756,0,84.97354497354497,13.12169312169312,1.7989417989417988
18,5000,5162.87939453125,-0.5039424099485642,121.72507141544664,5.922,40.6058125255833,0,9.929078014184398,89.05775075987842,1.0131712259371835
19,3900,519.7496337890625,-0.4483134835925127,57.08502900522654,4.506,39.35552033808769,0,66.711051930759,31.158455392809586,2.130492676431425
20,5000,137.75782775878906,-0.4405622094679039,45.58576930253402,5.73,38.518215309046255,0,83.24607329842932,13.926701570680628,2.8272251308900525
21,2892,115.86649322509766,-0.480495801677369,63.97245406228481,3.282,39.524838012958966,1,63.80255941499085,32.90676416819013,3.2906764168190126
22,2502,287.0345458984375,-0.47617018133335803,76.49378911611547,2.9579999999999997,39.86599664991625,1,53.7525354969574,42.59634888438134,3.4482758620689653
23,5000,1049.1009521484375,-0.5476779593535134,46.93731454644169,5.7,38.84568153909128,1,92.42105263157895,5.052631578947368,2.526315789473684
24,5000,731.5653076171875,-0.41480232508078996,53.24009350125647,5.771999999999999,39.58248055669259,0,69.54261954261955,28.17047817047817,2.182952182952183
25,2502,205.33631896972656,-0.5245618431877489,76.29476975485285,2.988,42.3785594639866,1,67.26907630522089,31.32530120481928,1.2048192771084338
26,5000,375.4630126953125,-0.5200260133935248,253.8962290679122,5.802,42.57060990585346,0,25.749741468459153,73.52637021716649,0.7238883143743536
27,2646,70.99781799316406,-0.540671837855866,69.2151765835522,3.066,40.837282780410746,0,57.534246575342465,38.551859099804304,3.9138943248532287
28,5000,108.80404663085938,-0.39389836002182343,37.597652179870884,5.454,36.06221858370856,3,92.07920792079209,6.050605060506051,1.76017601760176
29,2502,30.774337768554688,-0.46840713478259044,84.22385110016603,2.91,39.61474036850921,0,60.20618556701031,37.52577319587629,2.0618556701030926
30,5000,88.42237854003906,-0.7786910211672992,41.50272645366464,5.646,38.80474826033565,1,75.02656748140276,23.59192348565356,1.381509032943677
31,5000,93.73095703125,-0.32350226120625764,54.89525856865607,5.61,38.68194842406877,0,66.95187165775401,31.336898395721924,1.7112299465240641
32,5000,37.39746856689453,-0.4323962164582454,49.0680233735804,5.586,37.249283667621775,0,75.40279269602578,20.83780880773362,3.7593984962406015
33,5000,105.37593078613281,-0.4170092902420609,36.22361010722827,5.652,38.559148587801886,0,94.26751592356688,4.140127388535031,1.48619957537155
34,3830,147.89646911621094,-0.4474242954546206,71.36733865630268,4.2540000000000004,39.93541442411195,0,55.99435825105783,42.03102961918195,1.8335684062059237
35,2502,74.4623794555664,-0.5287525745140024,73.0376233992961,2.904,38.860971524288104,2,60.9504132231405,36.98347107438016,1.859504132231405
36,5000,34.43946075439453,-0.4626800606729384,91.23700744120795,5.814,39.62341383544822,2,48.60681114551084,49.122807017543856,2.2703818369453046
37,4348,338.3023681640625,-0.6337147319251278,61.81725583303302,5.064,40.57628719886632,0,72.39336492890996,24.881516587677723,2.7251184834123223
38,3038,291.8941345214844,-0.4949662085499565,62.81258937457473,3.5220000000000002,39.60328317373461,3,65.92844974446336,30.83475298126065,3.2367972742759794
39,5000,454.237548828125,-0.4059019224844975,41.69360306554733,5.682,37.82234957020057,0,87.96198521647307,10.348468848996832,1.583949313621964
