run,Episode Length,loss,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
0,2502,2977.33056640625,-112.39234284246452,0.48090338592811166,0.18,1.675041876046901,473,73.33333333333333,26.666666666666668,0.0
1,2502,46869.06640625,-0.6120085287043742,1.9420867053707271,0.222,1.8425460636515913,462,89.1891891891892,10.81081081081081,0.0
2,2502,30111.919921875,-0.6233400751246893,0.7543876372856281,0.342,6.532663316582915,394,45.614035087719294,50.877192982456144,1.7543859649122806
3,2502,2495.06982421875,-0.4799695472143901,0.4314145404762692,0.384,7.872696817420436,389,34.375,60.9375,4.6875
4,2502,12970.3017578125,-0.6717595041958888,0.4675036074274789,0.348,6.532663316582915,421,37.93103448275862,62.06896551724138,0.0
5,2502,33297.03515625,-0.8002531039893006,1.2148199118774279,0.264,2.8475711892797317,463,77.27272727272727,22.727272727272727,0.0
6,2502,26063.705078125,-0.7756612116716731,0.9928634928736892,0.372,7.035175879396985,391,45.16129032258064,54.83870967741935,0.0
7,2502,8899.359375,-0.6655481702291041,0.8634965643152903,0.26999999999999996,3.6850921273031827,450,75.55555555555556,24.444444444444443,0.0
8,2502,280.387939453125,-0.7185138525852608,1.0480003401659292,0.354,5.360134003350084,445,61.016949152542374,38.983050847457626,0.0
9,2502,3912.2265625,-0.9478036367939464,1.3632946457256065,0.204,1.8425460636515913,476,85.29411764705883,14.705882352941178,0.0
10,2502,2598.327392578125,-0.8748875271852075,0.5314872005314876,0.23399999999999999,3.1825795644891124,460,69.23076923076923,28.205128205128204,2.564102564102564
11,2502,32.78655242919922,-0.8905778778382976,1.3370361984902384,0.258,2.8475711892797317,503,79.06976744186046,20.930232558139537,0.0
12,2502,6675.935546875,-0.7501419954724714,0.6103792686920385,0.294,5.527638190954774,443,44.89795918367347,55.10204081632652,0.0
13,2502,14516.193359375,-0.8349468171210029,0.5482299958920754,0.252,3.8525963149078724,465,57.14285714285714,40.476190476190474,2.380952380952381
14,2502,8024.6474609375,-0.47712913171880006,0.6341757982286159,0.384,7.872696817420436,421,62.5,32.8125,4.6875
15,2502,3072.12646484375,-0.776287406125166,0.8696833312483994,0.258,3.1825795644891124,446,65.11627906976744,34.883720930232556,0.0
16,2502,786.7113647460938,-0.8160676257760888,0.5371471554476794,0.26999999999999996,4.857621440536013,443,55.55555555555556,40.0,4.444444444444445
17,2502,4011.592529296875,-0.9115024454256334,0.382076876726303,0.24600000000000002,3.350083752093802,473,70.73170731707317,29.268292682926827,0.0
18,2502,3242.971435546875,-0.6861227730673118,1.5640631822619941,0.354,6.030150753768844,408,45.76271186440678,54.23728813559322,0.0
19,2502,419.44073486328125,-0.9290117354277512,0.9288046390005057,0.24,2.0100502512562812,488,80.0,20.0,0.0
20,2502,3260.456787109375,-0.9587323508724392,0.876774637663343,0.18,2.0100502512562812,499,80.0,20.0,0.0
21,2502,6624.91064453125,-0.76472003919548,0.8993960858530461,0.30600000000000005,4.522613065326634,425,58.82352941176471,41.17647058823529,0.0
22,2502,5413.94580078125,-0.9698735331953666,1.1937096649820584,0.192,1.8425460636515913,464,81.25,18.75,0.0
23,2502,904.4702758789062,-0.8955006416701708,1.3798579806817217,0.378,5.6951423785594635,403,57.14285714285714,42.857142857142854,0.0
24,2502,1839.534423828125,-0.8817477455862761,0.6235913491875704,0.288,4.857621440536013,439,50.0,50.0,0.0
25,2502,5494.70068359375,-0.8417082251578736,0.553659902977345,0.264,3.5175879396984926,448,68.18181818181817,31.818181818181817,0.0
26,2502,5069.90673828125,-0.977009140691445,0.7040342674343599,0.228,3.015075376884422,475,60.526315789473685,39.473684210526315,0.0
27,2502,965.7389526367188,-0.926209048561828,0.47653803873107276,0.258,3.1825795644891124,449,69.76744186046511,30.23255813953488,0.0
28,2502,1408.9498291015625,-0.6894809383294058,0.4370999701860604,0.318,5.8626465661641545,417,43.39622641509434,56.60377358490566,0.0
29,2502,3572.738037109375,-0.6009077194823945,0.4652007760527257,0.408,8.207705192629817,389,39.705882352941174,51.470588235294116,8.823529411764707
30,2502,4120.78466796875,-0.9616239217652538,0.25880254772369415,0.156,1.675041876046901,476,88.46153846153845,11.538461538461538,0.0
31,2502,457.7207336425781,-0.7919703003690293,2.176203704568824,0.318,4.522613065326634,428,60.37735849056604,39.62264150943396,0.0
32,2502,2246.420166015625,-0.7917828555798502,1.6216767991312144,0.288,3.8525963149078724,446,56.25,43.75,0.0
33,2502,6132.31298828125,-0.8675717473839847,1.3720134363174792,0.252,2.8475711892797317,428,80.95238095238095,19.047619047619047,0.0
34,2502,4866.28857421875,-0.9911756150765068,1.534344135659262,0.222,2.1775544388609713,453,83.78378378378379,16.216216216216218,0.0
35,2502,823.71142578125,-1.0543686321505374,0.5312595519866092,0.144,0.33500837520938026,521,100.0,0.0,0.0
36,2502,1585.5162353515625,-0.7382156930101241,0.7560956879338164,0.354,5.8626465661641545,426,49.152542372881356,49.152542372881356,1.694915254237288
37,2502,4680.255859375,-0.7782815305357409,1.1858137503458523,0.396,7.035175879396985,397,46.96969696969697,53.03030303030303,0.0
38,2502,4431.79345703125,-0.8977758962933132,0.5426460598073475,0.216,3.1825795644891124,497,63.888888888888886,36.11111111111111,0.0
39,2502,792.86962890625,-1.041909175454218,0.28690214485480386,0.18,2.512562814070352,472,70.0,30.0,0.0
40,2502,1858.4075927734375,-0.8607958801244701,0.5098666790047689,0.276,4.690117252931323,460,65.21739130434783,30.434782608695656,4.3478260869565215
