run,Episode Length,loss,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
0,2502,0.0,-48.23446102302478,4.21273710347687,2.19,57.95644891122278,90,13.424657534246576,86.57534246575342,0.0
1,2502,0.0,-17.38879028000791,7.821973994191908,2.568,68.67671691792296,93,7.710280373831775,92.05607476635514,0.23364485981308408
2,2502,0.0,-17.51187778856984,10.326644405246915,2.532,68.17420435510888,119,6.872037914691943,92.89099526066352,0.0
3,2502,0.0,-15.427240004330022,6.189481103745177,2.4659999999999997,64.99162479061977,92,8.51581508515815,91.48418491484185,0.0
4,2502,0.0,-13.033026433484167,6.561824490569074,2.166,56.61641541038526,95,11.080332409972298,88.36565096952909,0.554016620498615
5,2502,0.0,-15.275593535738757,5.1701389755619065,2.244,60.46901172529313,84,8.288770053475936,91.71122994652407,0.0
6,2502,0.0,-17.97709973736992,7.538720175988838,2.4480000000000004,64.4891122278057,91,9.313725490196079,90.68627450980392,0.0
7,2502,0.0,-15.723458603034704,5.061926771793731,2.298,59.463986599664985,98,14.360313315926893,85.11749347258485,0.26109660574412535
8,2502,0.0,-17.37775953871204,6.6810353161459135,2.298,60.80402010050251,94,9.660574412532636,90.33942558746736,0.0
9,2502,0.0,-16.854695019106785,10.690748462381404,2.34,61.30653266331658,98,14.358974358974358,85.64102564102564,0.0
10,2502,0.0,-19.12333792925533,9.092315060562736,2.4,62.8140703517588,99,10.25,89.5,0.0
11,2502,0.0,-20.98881721166121,5.130764427433718,2.424,65.82914572864321,84,6.683168316831684,93.31683168316832,0.0
12,2502,0.0,-20.107267368130923,5.182094602945386,2.3939999999999997,62.8140703517588,87,8.270676691729323,91.47869674185463,0.2506265664160401
13,2502,0.0,-18.933211857099394,3.9373633658808522,2.274,60.46901172529313,72,8.179419525065963,91.55672823218998,0.2638522427440633
14,2502,0.0,-20.164763771010012,6.857403068665598,2.388,62.8140703517588,110,10.301507537688442,89.44723618090453,0.25125628140703515
15,2502,0.0,-18.392755908466043,3.6731811995788255,2.196,58.12395309882747,104,9.562841530054644,90.43715846994536,0.0
16,2502,0.0,-19.832196926861098,7.184095193830911,2.322,61.30653266331658,92,8.2687338501292,91.47286821705426,0.2583979328165375
17,2502,0.0,-19.98580051183414,5.3017159581381765,2.274,60.80402010050251,82,6.860158311345646,92.61213720316623,0.2638522427440633
18,2502,0.0,-21.74745271536755,4.964405424985463,2.472,65.15912897822446,79,9.70873786407767,90.0485436893204,0.24271844660194172
19,2502,0.0,-20.999861703732805,4.186814084366249,2.418,63.65159128978225,84,10.173697270471465,88.83374689826302,0.7444168734491315
20,2502,0.0,-19.598457528363834,5.2088818385874465,2.226,59.2964824120603,117,8.89487870619946,90.56603773584906,0.5390835579514826
21,2502,0.0,-23.73645050529948,20.610517933084306,2.586,68.67671691792296,87,9.280742459396752,90.71925754060325,0.0
22,2502,0.0,-18.660271216295502,3.234143279569346,2.154,57.11892797319933,87,6.963788300835655,93.03621169916435,0.0
23,2502,0.0,-21.40857291680998,6.661403691904529,2.3339999999999996,61.80904522613066,104,8.483290488431876,91.51670951156812,0.0
24,2502,0.0,-21.54926505398276,5.99488920943997,2.3939999999999997,63.31658291457286,95,10.025062656641603,88.97243107769424,0.7518796992481203
25,2502,0.0,-19.199681857547784,6.967074947630159,2.382,61.30653266331658,83,13.350125944584383,85.13853904282117,1.2594458438287155
26,2502,0.0,-22.539868179568845,6.6647304848097635,2.478,65.49413735343383,98,10.895883777239709,88.86198547215496,0.24213075060532688
27,2502,0.0,-18.361858046238893,4.030839499348941,2.2020000000000004,58.62646566164153,69,9.536784741144414,90.19073569482289,0.2724795640326975
28,2502,0.0,-22.33971582552192,9.042226420182237,2.4480000000000004,64.4891122278057,98,11.519607843137255,87.99019607843137,0.24509803921568626
29,2502,0.0,-23.336678998813653,8.773945308965052,2.4480000000000004,65.66164154103853,96,8.57843137254902,90.93137254901961,0.24509803921568626
30,2502,0.0,-22.78563820178915,6.423963683250005,2.412,63.81909547738693,95,7.711442786069651,92.03980099502488,0.0
31,2502,0.0,-20.370414174361084,5.625084197201157,2.37,62.14405360134003,78,10.632911392405063,89.1139240506329,0.25316455696202533
32,2502,0.0,-18.44013577316751,4.6209751743311065,2.196,57.6214405360134,93,11.202185792349727,88.52459016393442,0.273224043715847
33,2502,0.0,-22.44664058471371,5.522501511373879,2.3339999999999996,61.47403685092128,112,8.483290488431876,91.25964010282776,0.2570694087403599
34,2502,0.0,-20.773944725550354,4.939188943488742,2.238,61.13902847571189,86,6.166219839142091,93.2975871313673,0.2680965147453083
35,2502,0.0,-23.29774968360945,8.517376823734217,2.424,64.65661641541038,115,9.158415841584159,90.84158415841584,0.0
36,2502,0.0,-18.72828022248867,4.75613119394028,2.196,58.62646566164153,74,10.10928961748634,89.89071038251366,0.0
37,2502,0.0,-22.083609436790333,6.686277927847429,2.364,62.981574539363486,101,9.644670050761421,89.59390862944161,0.5076142131979695
38,2502,0.0,-22.330889668991627,13.925067945512774,2.346,64.321608040201,100,8.439897698209718,91.56010230179028,0.0
39,2502,0.0,-22.557170739492136,19.35100189074594,2.46,66.66666666666666,96,8.292682926829269,91.46341463414635,0.24390243902439024
40,2502,0.0,-23.245572640976537,6.05342151113751,2.3939999999999997,63.14907872696818,106,7.518796992481203,92.23057644110276,0.0
41,2502,0.0,-18.08004878602322,6.042214507221929,2.196,57.95644891122278,84,11.748633879781421,88.25136612021858,0.0
42,2502,0.0,-22.052411470469014,6.9539314516583195,2.514,65.32663316582915,87,11.217183770883054,86.87350835322196,1.6706443914081146
43,2502,0.0,-22.647934050014545,15.236108306804802,2.4539999999999997,64.15410385259631,101,10.757946210268948,88.99755501222494,0.24449877750611246
44,2502,0.0,-21.558622939087748,4.077924025228171,2.322,61.97654941373534,89,6.976744186046512,92.50645994832041,0.516795865633075
45,2502,0.0,-19.37454414963875,4.658821208684258,2.172,58.12395309882747,88,7.18232044198895,92.26519337016575,0.5524861878453038
46,2502,0.0,-19.923404462042175,4.329288754325088,2.184,60.30150753768844,89,7.417582417582418,92.58241758241759,0.0
47,2502,0.0,-21.473093985908914,7.876463329451552,2.346,61.97654941373534,90,8.951406649616368,90.7928388746803,0.0
48,2502,0.0,-21.150201841542266,5.241854345152353,2.4,63.484087102177554,83,10.0,89.5,0.5
49,2502,0.0,-22.291145517944067,7.397895695825297,2.34,62.14405360134003,95,6.666666666666667,93.07692307692308,0.2564102564102564
50,2502,0.0,-22.67185606058116,7.514061164055752,2.4,63.484087102177554,91,8.5,91.25,0.0
51,2502,0.0,-24.392189725234587,7.6956481100338054,2.4480000000000004,65.9966499162479,101,6.127450980392156,93.38235294117648,0.24509803921568626
