run,Episode Length,loss,exploration,Returns,mean wip,monthly mean throughput,Agent releases,PSP length,EA %,TA %,TI %
0,5002,0.0,1.0,-161.914956122661,3.2026387846844693,3.828,49.59083469721768,372,10.031347962382444,89.0282131661442,0.7836990595611284
1,5002,0.0,1.0,-23.003097605713492,2.92602159844152,3.834,50.163666121112925,340,5.790297339593114,93.89671361502347,0.3129890453834116
2,5002,0.0,1.0,-23.572117268559936,2.357613732116955,3.8160000000000003,50.245499181669395,334,5.345911949685535,94.49685534591194,0.15723270440251574
3,5002,0.0,1.0,-24.317579135147554,2.5412192119620873,3.7800000000000002,50.40916530278232,346,6.190476190476191,93.65079365079364,0.15873015873015872
4,5002,0.0,1.0,-21.36535005493796,2.5712185802383143,3.75,49.67266775777414,352,5.92,93.92,0.16
5,5002,0.0,1.0,-21.48051429019507,2.5536548084458626,3.8819999999999997,51.309328968903436,350,9.891808346213292,89.95363214837712,0.0
6,5002,0.0,1.0,-23.792241263147503,2.456813050565916,3.666,48.608837970540094,354,7.037643207855974,92.96235679214404,0.0
7,5002,0.0,1.0,-25.531934110143943,2.7201345776719648,3.648,47.95417348608838,389,6.907894736842106,92.92763157894737,0.1644736842105263
8,5002,0.0,1.0,-19.76696954229429,2.2745361960486536,3.648,48.199672667757774,329,9.703947368421053,90.13157894736842,0.1644736842105263
9,5002,0.0,1.0,-23.223980605972265,2.6097380736267772,3.786,50.08183306055647,369,6.497622820919176,93.50237717908082,0.0
10,5002,0.0,1.0,-20.022220783399177,2.483684220924546,3.7560000000000002,50.245499181669395,312,3.8338658146964857,95.84664536741214,0.1597444089456869
11,5002,0.0,1.0,-24.50107137341524,3.6784535386324366,3.906,50.98199672667758,386,8.141321044546851,91.85867895545314,0.0
12,5002,0.0,1.0,-20.754989210639668,2.8944347366642855,3.9360000000000004,51.55482815057283,314,12.347560975609756,87.5,0.1524390243902439
13,5002,0.0,1.0,-21.41964270507223,2.3038282922551834,3.5940000000000003,47.217675941080195,322,8.013355592654424,91.48580968280467,0.333889816360601
14,5002,0.0,1.0,-20.388683526986643,2.631983088547952,3.888,51.800327332242226,313,7.716049382716049,91.9753086419753,0.30864197530864196
15,5002,0.0,1.0,-22.162204975053072,2.4006427496995357,3.666,48.3633387888707,342,8.51063829787234,91.32569558101473,0.16366612111292964
16,5002,0.0,1.0,-21.9777214136426,2.1334308546206673,3.516,46.72667757774141,363,10.409556313993173,89.419795221843,0.17064846416382254
17,5002,0.0,1.0,-25.001328308268295,2.4988787827599386,3.642,48.52700490998363,387,5.436573311367381,94.56342668863262,0.0
18,5002,0.0,1.0,-16.205493917889466,2.6897496591878,3.8519999999999994,51.391162029459906,292,7.320872274143301,92.6791277258567,0.0
19,5002,0.0,1.0,-20.928610755612052,3.144736724342392,3.8220000000000005,49.754500818330605,351,9.57613814756672,90.42386185243329,0.0
20,5002,0.0,1.0,-23.35601206945392,2.8106772768846997,3.9000000000000004,51.47299509001637,387,9.692307692307692,90.15384615384615,0.15384615384615385
21,5002,0.0,1.0,-25.31154210893164,3.5934152167670583,3.6540000000000004,47.38134206219313,407,11.822660098522167,87.68472906403942,0.49261083743842365
22,5002,0.0,1.0,-16.989087554157592,2.8235172579945997,3.948,52.373158756137485,271,7.142857142857142,92.09726443768997,0.7598784194528876
23,5002,0.0,1.0,-22.912046749539847,2.2597186632026887,3.75,49.42716857610475,373,10.72,89.12,0.16
24,5002,0.0,1.0,-23.614731375006894,2.454866918579801,3.7620000000000005,49.263502454991816,347,6.220095693779904,93.62041467304624,0.1594896331738437
25,5002,0.0,1.0,-18.463604477333128,2.223788980565598,3.714,49.09983633387889,323,6.946688206785137,92.73021001615508,0.32310177705977383
26,5002,0.0,1.0,-23.389360084645542,2.3009475608031575,3.5820000000000003,47.46317512274959,386,5.025125628140704,93.96984924623115,0.8375209380234505
27,5002,0.0,1.0,-23.76285587752703,2.6193450258244813,3.738,49.67266775777414,376,6.902086677367576,92.61637239165329,0.4815409309791332
28,5002,0.0,1.0,-20.667825483436808,2.6890470493865415,3.828,50.49099836333879,321,9.717868338557993,90.12539184952978,0.1567398119122257
29,5002,0.0,1.0,-20.158638715608554,3.043207985073636,3.948,52.700490998363335,305,3.343465045592705,96.65653495440729,0.0
30,5002,0.0,1.0,-19.213812763390614,2.354640309062346,3.666,48.44517184942717,313,7.528641571194762,92.14402618657938,0.32733224222585927
